chain,market_id,loan_token,collateral_token,oracle,irm,lltv
ethereum,0x03157b7411956c938c497a28d3d2efdc2761a6f659a0397b29285766f7b9bc0c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x699e04F98dE2Fc395a7dcBf36B48EC837A976490,0x2bE2Ed266AcE03009bf613F9100420FD2F56be75,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x0cf0597c314f60b9e42d4666073014cf4f7cdf72dea45626aa1caad695c74f2a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x833AdaeF212c5cD3f78906B44bBfb18258F238F0,0x39f46eAd05fb7b67516cD4fA66FE11E5c422C546,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,945000000000000000
ethereum,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,0x65F9f6d537C2D628D1c2663896436817440eDB72,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x10b401f4254a7039b7168c5a614c81ea8be698186cfb33aa56ac2adbcf0e88f9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf736acF34FF7Cd9B3565b73a1f15E652859bF322,0x2F9CEb1663BE430218a151D20ce805aCAc968C97,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x1247f1c237eceae0602eab1470a5061a6dd8f734ba88c7cdc5d6109fb0026b28,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,0x5D916980D5Ae1737a8330Bf24dF812b2911Aae25,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x138eec0e4a1937eb92ebc70043ed539661dd7ed5a89fb92a720b341650288a40,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xc29B3Bc033640baE31ca53F8a0Eb892AdF68e663,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,0xaE4750d0813B5E37A51f7629beedd72AF1f9cA35,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x2287407f0f42ad5ad224f70e4d9da37f02770f79959df703d6cfee8afc548e0d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7122985656e38BDC0302Db86685bb972b145bD3C,0xcF45D565252D56b5d377631982c8543e80a4c6a1,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,945000000000000000
ethereum,0x27852bb453d4fe6ec918dd27b7136bb233d210aab1758a59ed8daaeec24f7b3d,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x386AE941D4262B0Ee96354499dF2ab8442734EC0,0x5Da4B29b877B21a4360495C06b88e8da194c169e,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x2cbfb38723a8d9a2ad1607015591a78cfe3a5949561b39bde42c242b22874ec0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x8F653cCFEbA16cF2c0B0D16bc82Bd6756C64f5D4,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x2f9af50d3349c6d4dc33281ce16f97ec8a9b89baa21ffd88b3fbb9a34a90b036,0x7751E2F4b8ae93EF6B79d86419d42FE3295A4559,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
ethereum,0x35b9438b7d90d478694dfbdba841571850902c1cc619c53c53eeee6e0a5804b0,0x09D4214C03D01F49544C0448DBE3A27f768F2b34,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0xBC693693fDBB177Ad05ff38633110016BC043AC5,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,860000000000000000
ethereum,0x39d11026eae1c6ec02aa4c0910778664089cdd97c3fd23f68f7cd05e2e95af48,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,0x5D916980D5Ae1737a8330Bf24dF812b2911Aae25,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,860000000000000000
ethereum,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,0x826F361C22A687DbC34B52777a1c3Dcf1F5e3B70,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xDddd770BADd886dF3864029e4B377B5F6a2B6b83,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,860000000000000000
ethereum,0x3bdb58058b41bb700458ba3df317e254244ddec7fc35fec93d2d53475cc6ebdc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCcE7D12f683c6dAe700154f0BAdf779C0bA1F89A,0x3B74C5fd1005Cd98f349d5d9Df78EC8b15131fa5,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x3c16c2d107caade490b1d513ccc54cbd06a30f20ad6a9aaad8c744413872514a,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,0x657d9ABA1DBb59e53f9F3eCAA878447dCfC96dCb,0xB1E676190A86DA2Cb99afD0496538ABe1D4C164D,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x3f1d5c88c72432b04f2074499fe217468af49ddaa98bcb6ec80b08f76a82c6ec,0xdC035D45d973E3EC169d2276DDab16f1e407384F,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,0xa022aDB8C6bD4c25325A662cB928570a8e3966b4,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,770000000000000000
ethereum,0x4005ba6eb7d2221fe58102bd320aa6d83c47b212771bc950ab71c5074d9ab0ec,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2CA5f2C4300450D53214B00546795c1c07B89acB,0x2C459AB29dB32671029725168043d563580217B4,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,915000000000000000
ethereum,0x444bbce85350aae535b037d090c8bdf6cc4cfc6d79e17725413b4cb0f6183ad4,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x8236a87084f8B84306f72007F36F2618A5634494,0x1Ce1a1e68F26019CAf5E823A56e300755D70D078,0x870aC11D48B15DB9a138Cf899d20F13F79Ba00BC,945000000000000000
